SPRING 2026 COMBINED UNDERGRADUATE LECTURE TIMETABLE FOR ENGLISH SPEAKING SUB-SECTION,,,,
MONDAY,,,,
TIME,COURSE,LECTURER,HALL,
8:00 - 11:00,ACC4212 Advanced Financial Accounting,Mme Atemlefeh Vanessa,Terry and Linda Byrd Hall,
,MTH 1245 Discrete Mathematics Group 2,Dr. Keyampi,George Mbarika Hall,
,REN 3261 Hydrogen and Fuel Cells,Engr. Ridley,BS Chumbow Hall,
,JMC 2275 Digital Radio Production II,Mr. Betangacho,IT Hall,
,BMS2200 Civics and Ethics,Dr. Ngome-Nkwelle,J-E. Pondi Hall,
,ICT 3211 IT Infrastructure Management,Dr. Fosso,Eric Mbarika Hall,
11:00 - 14:00,ACC3218 FRAUD AND ETHICS,Ms. Tarbot chelsea,IT Hall,
,MTH 1245 Discrete Mathematics Group 1,Dr. Keyampi,J-E. Pondi Hall,
,ICT2211  Application for Business Software,,BS Chumbow Hall,
,ICT1222 Algorithms and Data Structures II Group 2,Engr. Mughe,George Mbarika Hall,
,REN 3263 Sustainable Energy Management and Climate Change,Engr. Ridley,Terry and Linda Byrd Hall,
,JMC 2274 Digital TV Production II,Mr. Betangacho,Eric Mbarika Hall,
,,,,
14:00 - 17:00,ACC4213 OHADA Accounting II,Mgr. Ayuk Collins ,Terry and Linda Byrd Hall,
,ICT1222 Algorithms and Data Structures II Group 1,Engr. Mughe,J-E. Pondi Hall,
,"ICT 2220 Object Oriented Analysis, Design and Implementation Group 1",Engr. Palma,George Mbarika Hall,
,,,,
,,,,
SATURDAY,,,,
8:00 - 11:00,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11:00 - 14:00,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
14:00 - 17:00,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
